06,503
-17040,308,506
-17023,309,501
-17007,311,501
-16990,313,502
-16973,317,504
-16957,321,503
-17074,298,510
-17056,306,503
-17040,308,506
-17023,309,501
-17007,311,501
-16990,313,502
-16973,317,504
-16957,3210,340,808
0,341,724
1,341,687
2,341,657
2,341,634
3,341,613
4,341,595
12,345,514
25,349,503
37,352,503
50,355,504
62,359,503
74,362,502
87,363,501
100,366,502
113,370,506
126,377,507
140,381,502
153,384,501
167,387,502
181,391,503
194,395,504
207,398,503
222,400,501
235,403,503
248,408,510
262,417,506
275,421,504
289,424,502
303,429,503
316,433,505
329,437,503
343,439,504
357,445,506
370,452,504
384,456,501
397,459,503
410,461,501
424,464,502
438,468,503
451,472,502
464,473,501
478,474,501
492,476,502
505,482,508
519,490,506
532,495,474
545,499,502
560,502,502
573,507,503
586,510,503
600,512,502
613,516,504
627,522,510
641,528,502
654,531,503
667,533,502
680,534,501
695,535,502
708,538,502
721,542,503
735,545,502
748,548,501
762,549,500
776,550,499
789,552,500
802,556,504
816,563,508
830,569,503
843,571,533
857,575,501
870,578,502
883,581,503
898,585,502
911,588,502
924,589,500
937,591,501
951,596,505
965,603,507
978,608,501
992,610,501
1005,612,501
1020,616,501
1035,620,503
1049,625,505
1063,626,501
1078,629,502
1093,633,507
1107,643,505
1122,648,507
1136,652,501
1150,655,503
1166,660,504
1180,664,502
1195,667,502
1209,671,505
1224,678,505
1239,683,500
1253,685,470
1267,686,501
1282,689,501
1297,693,503
1311,697,503
1326,700,501
1340,701,500
1355,703,502
1370,708,508
1384,716,505
1398,721,503
1413,724,502
1428,728,503
1442,733,503
1457,736,502
1471,738,502
1486,743,509
1501,749,505
1515,753,484
1529,755,501
1544,757,501
1559,759,503
1573,761,502
1588,766,503
1602,769,501
1616,771,500
1632,772,501
1646,777,506
1660,786,506
1675,790,558
1690,792,501
1704,796,502
1719,800,503
1733,804,502
1747,806,501
1763,808,501
1777,811,505
1792,819,507
1806,823,501
1821,826,501
1836,829,501
1850,832,502
1864,837,503
1879,840,502
1894,841,501
1908,845,503
1923,851,509
1937,859,604
1952,862,502
1967,866,503
1981,870,504
1995,874,503
2010,876,-611
2026,871,-511
2041,868,-507
2057,866,-507
2072,865,-507
2088,862,-509
2104,859,-513
2119,854,-509
2135,852,-507
2150,851,-507
2166,850,-507
2182,849,-507
2197,848,-508
2212,842,-514
2229,834,-511
2244,831,-508
2259,828,-509
2275,825,-511
2291,820,-511
2307,817,-509
2322,815,-507
2337,813,-508
2354,809,-511
2369,801,-513
2384,798,-507
2400,797,-507
2415,795,-507
2432,795,-507
2447,794,-506
2462,793,-507
2478,791,-583
2494,789,-509
2509,786,-508
2525,783,-508
2540,781,-507
2556,781,-506
2572,780,-506
2587,780,-506
2603,779,-506
2619,779,-506
2634,778,-507
2650,776,-509
2665,769,-514
2680,764,-508
2697,761,-508
2712,760,-507
2727,760,-507
2743,759,-507
2759,757,-508
2775,755,-495
2790,751,-509
2805,748,-509
2822,747,-507
2837,746,-507
2852,745,-508
2868,744,-507
2884,742,-509
2899,736,-514
2915,730,-510
2930,728,-509
2946,727,-508
2962,726,-507
2977,725,-507
2993,724,-508
3008,722,-479
3024,719,-509
3040,715,-512
3055,713,-509
3070,712,-509
3087,711,-507
3102,710,-507
3118,709,-508
3133,703,-514
3148,694,-511
3165,691,-509
3180,688,-511
3195,684,-513
3211,680,-510
3227,676,-508
3243,674,-508
3258,671,-509
3273,668,-512
3290,660,-509
3305,658,-507
3320,657,-506
3336,655,-506
3352,654,-506
3367,653,-506
3383,652,-507
3398,649,-509
3414,648,-529
3430,644,-510
3445,640,-509
3461,639,-507
3476,639,-507
3492,638,-507
3508,638,-507
3523,637,-507
3538,636,-507
3555,633,-511
3570,625,-514
3586,618,-508
3601,616,-507
3617,614,-508
3633,611,-511
3648,606,-511
3663,603,-509
3679,600,-509
3695,598,-509
3710,596,-509
3726,590,-513
3741,582,-510
3758,580,-507
3773,579,-506
3788,578,-507
3804,576,-506
3820,576,-507
3835,573,-493
3851,570,-508
3866,567,-508
3883,564,-509
3898,562,-508
3913,561,-508
3929,560,-507
3944,559,-507
3960,558,-508
3976,553,-513
3991,544,-510
4006,541,-507
4023,540,612
4037,544,503
4051,548,500
4066,550,500
4080,552,501
4096,557,506
4110,565,506
4124,570,482
4139,574,501
4154,576,502
4168,581,502
4183,584,502
4197,587,501
4211,589,501
4227,591,500
4241,594,503
4255,602,507
4270,607,501
4285,610,501
4299,612,501
4314,615,501
4328,620,503
4342,624,503
4358,626,501
4372,628,500
4386,632,504
4401,640,507
4416,646,614
4430,649,502
4445,653,502
4459,658,504
4473,662,502
4489,665,501
4503,667,502
4517,672,504
4532,679,505
4546,683,500
4561,686,498
4576,686,501
4590,688,500
4604,691,501
4620,695,502
4634,698,501
4648,700,500
4663,701,501
4677,703,502
4692,709,508
4707,716,504
4721,720,475
4736,723,501
4751,725,501
4765,729,503
4780,733,502
