756,-1023
-18506,691,-1023
-18488,622,-1023
-18469,553,-1023
-18450,483,-1023
-18431,412,-1023
-18413,344,-0,24,1023
0,34,1023
1,34,1023
2,33,1023
2,34,1023
3,35,1023
4,36,1023
12,56,1023
25,94,1023
37,135,1023
51,180,1023
64,227,1023
77,275,1023
92,323,1023
105,371,1023
119,424,1023
134,477,1023
148,533,1023
163,586,1023
178,640,1023
192,693,1023
206,744,1023
222,795,1023
236,846,1023
250,898,1023
265,950,1023
279,1003,1023
295,1023,1023
311,28,1023
324,79,1023
337,128,1023
352,179,1023
367,232,1023
381,284,1023
396,338,1023
410,392,1023
425,446,1023
440,502,1023
454,557,1023
468,612,1023
483,665,1023
498,718,1023
513,770,1023
527,822,1023
541,873,1023
557,926,1023
571,979,1023
585,1023,1023
601,0,1023
613,46,1023
627,95,1023
641,144,1023
655,195,1023
669,247,1023
684,300,1023
699,353,1023
713,407,1023
728,463,1023
742,518,1023
757,574,1023
772,628,1023
786,683,1023
800,735,1023
815,787,1023
830,838,1023
844,891,1023
859,943,1023
873,998,1023
888,1023,1023
904,19,1023
917,71,1023
930,119,1023
945,172,1023
960,225,1023
974,277,1023
989,331,1023
1003,384,1023
1018,443,1023
1035,503,1023
1050,563,1023
1065,622,1023
1081,679,1023
1097,735,1023
1113,790,1023
1128,845,1023
1143,901,1023
1160,957,1023
1175,1016,1023
1191,0,1023
1205,36,1023
1220,90,1023
1234,143,1023
1250,198,1023
1265,253,1023
1281,310,1023
1297,366,1023
1312,425,1023
1328,484,1023
1343,544,1023
1359,604,1023
1375,661,1023
1390,718,1023
1405,773,1023
1422,828,1023
1437,883,1023
1453,939,1023
1468,997,1023
1483,1023,1023
1501,25,1023
1515,79,1023
1529,131,1023
1545,188,1023
1561,243,1023
1576,300,1023
1592,357,1023
1607,414,1023
1624,473,1023
1639,534,1023
1654,592,1023
1670,649,1023
1686,706,1023
1701,762,1023
1717,816,1023
1732,872,1023
1747,927,1023
1764,985,1023
1779,1023,1023
1796,14,1023
1810,67,1023
1825,119,1023
1841,175,1023
1856,230,1023
1871,285,1023
1888,343,1023
1903,400,1023
1918,460,1023
1934,519,1023
1949,579,1023
1966,636,1023
1981,694,1023
1996,750,1023
2012,791,-1023
2029,797,-1023
2045,752,-1023
2062,698,-1023
2078,639,-1023
2096,579,-1023
2112,520,-1023
2128,459,-1023
2145,399,-1023
2162,341,-1023
2179,283,-1023
2195,225,-1023
2211,166,-1023
2229,108,-1023
2245,50,-1023
2260,0,-1023
2275,1023,-1023
2293,970,-1023
2310,914,-1023
2326,858,-1023
2342,802,-1023
2360,749,-1023
2376,691,-1023
2393,632,-1023
2409,570,-1023
2426,510,-1023
2443,449,-1023
2459,388,-1023
2476,328,-1023
2493,271,-1023
2509,212,-1023
2526,153,-1023
2542,93,-1023
2558,37,-1023
2574,0,-1023
2588,1017,-1023
2606,955,-1023
2623,897,-1023
2639,840,-1023
2656,784,-1023
2672,728,-1023
2690,670,-1023
2706,609,-1023
2722,550,-1023
2739,489,-1023
2756,428,-1023
2772,368,-1023
2789,306,-1023
2805,250,-1023
2823,192,-1023
2839,132,-1023
2855,73,-1023
2871,17,-1023
2887,1023,-1023
2905,987,-1023
2921,929,-1023
2937,872,-1023
2955,816,-1023
2971,761,-1023
2988,705,-1023
3004,645,-1023
3021,584,-1023
3038,525,-1023
3054,463,-1023
3070,402,-1023
3088,341,-1023
3104,283,-1023
3121,224,-1023
3137,164,-1023
3154,105,-1023
3171,47,-1023
3186,0,-1023
3201,1023,-1023
3219,963,-1023
3235,906,-1023
3252,849,-1023
3268,793,-1023
3286,737,-1023
3302,678,-1023
3318,618,-1023
3335,558,-1023
3352,498,-1023
3368,437,-1023
3385,376,-1023
3401,317,-1023
3419,259,-1023
3435,200,-1023
3451,141,-1023
3468,82,-1023
3484,26,-1023
3500,461,-1023
3516,999,-1023
3532,942,-1023
3550,885,-1023
3566,829,-1023
3582,774,-1023
3599,717,-1023
3616,658,-1023
3633,597,-1023
3649,535,-1023
3665,474,-1023
3683,412,-1023
3699,351,-1023
3716,291,-1023
3732,232,-1023
3749,172,-1023
3766,113,-1023
3782,53,-1023
3798,0,-1023
3812,1023,-1023
3830,968,-1023
3847,910,-1023
3863,853,-1023
3879,796,-1023
3897,740,-1023
3913,681,-1023
3930,620,-1023
3946,559,-1023
3963,498,-1023
3980,436,-1023
3996,374,-1023
4013,297,1023
4029,314,1023
4044,354,1023
4060,407,1023
4075,465,1023
4091,525,1023
4107,583,1023
4122,642,1023
4137,700,1023
4154,756,1023
4169,810,1023
4185,866,1023
4200,921,1023
4216,979,1023
4232,1023,1023
4248,8,1023
4261,59,1023
4276,112,1023
4292,167,1023
4307,223,1023
4323,279,1023
4338,336,1023
4355,393,1023
4370,452,1023
4385,512,1023
4401,572,1023
4417,631,1023
4432,689,1023
4448,745,1023
4463,800,1023
4478,856,1023
4495,911,1023
4510,969,1023
4526,1023,1023
4542,0,1023
4556,49,1023
4571,104,1023
4586,159,1023
4601,216,1023
4618,271,1023
