,639,1023,1
12194,655,806,1
0,800,831,1
1,799,793,1
1,799,796,1
2,799,799,1
3,800,801,1
3,800,804,1
13,809,807,1
28,830,806,1
43,852,824,1
57,875,813,1
71,900,809,1
86,921,815,1
101,946,814,1
116,972,808,1
132,998,810,1
147,1023,810,1
164,1023,809,1
181,0,805,1
194,12,808,1
208,18,1023,-1
226,27,757,-1
241,3,819,-1
256,0,828,-1
270,1023,815,-1
288,1021,819,-1
306,993,822,-1
322,968,809,-1
338,942,816,-1
356,917,824,-1
372,890,817,-1
389,864,816,-1
405,841,820,-1
422,815,1023,1
439,826,811,1
454,849,805,1
470,875,810,1
485,901,803,1
501,926,811,1
517,951,811,1
532,978,819,1
547,1004,812,1
565,1023,807,1
581,941,807,1
596,0,808,1
610,18,818,1
625,24,1023,-1
642,28,814,-1
657,5,819,-1
671,0,818,-1
686,1023,817,-1
704,1022,818,-1
721,995,822,-1
738,968,820,-1
755,943,819,-1
772,918,825,-1
788,891,821,-1
804,867,814,-1
822,843,825,-1
838,815,1023,1
855,827,803,1
870,850,806,1
885,876,812,1
902,901,803,1
917,927,812,1
932,952,814,1
948,977,822,1
964,1005,812,1
980,1023,806,1
997,939,807,1
1012,0,807,1
1028,19,809,1
1043,26,1023,-1
1060,31,816,-1
1077,5,817,-1
1093,0,818,-1
1108,1023,819,-1
1127,1017,817,-1
1145,990,832,-1
1164,961,820,-1
1181,934,742,-1
1199,906,826,-1
1216,880,817,-1
1234,854,822,-1
1252,826,1023,1
1269,833,803,1
1287,859,735,1
1303,885,808,1
1319,911,810,1
1336,940,803,1
1353,968,812,1
1370,994,814,1
1386,1023,807,1
1403,1023,806,1
1422,0,806,1
1436,15,809,1
1452,41,812,1
1467,48,1023,-1
1484,61,818,-1
1502,36,820,-1
1518,9,816,-1
1533,0,815,-1
1549,1023,819,-1
1568,1022,817,-1
1587,993,820,-1
1604,965,816,-1
1623,938,823,-1
1640,911,825,-1
1657,884,817,-1
1675,858,1023,1
1693,866,804,1
1710,891,809,1
1726,916,810,1
1742,945,809,1
1760,972,808,1
1776,999,812,1
1793,1023,809,1
1810,936,810,1
1827,0,806,1
1842,18,815,1
1857,42,809,1
1872,70,804,1
1889,80,1023,-1
1906,88,815,-1
1923,64,742,-1
1939,36,823,-1
1956,10,817,-1
1973,0,815,-1
1988,1023,818,-1
2007,1020,819,-1
2026,992,820,-1
2043,964,817,-1
2061,937,820,-1
2078,910,831,-1
2097,883,1023,1
2114,896,801,1
2130,919,814,1
2147,948,811,1
2164,975,807,1
2181,1004,812,1
2198,1023,809,1
2215,951,807,1
2233,0,807,1
2247,23,803,1
2263,48,821,1
2278,74,809,1
2294,101,802,1
2311,112,1023,-1
2329,118,831,-1
2347,90,821,-1
2364,64,752,-1
2380,38,823,-1
2397,11,817,-1
2413,0,816,-1
2429,1023,819,-1
2448,1021,818,-1
2466,992,818,-1
2485,964,825,-1
2502,937,820,-1
2520,911,1023,1
2537,917,810,1
2554,945,809,1
2571,973,809,1
2587,1001,812,1
2605,1023,816,1
2623,947,812,1
2639,0,806,1
2654,21,805,1
2669,45,814,1
2685,72,808,1
2701,98,806,1
2716,123,812,1
2733,132,1023,-1
2752,135,774,-1
2769,108,832,-1
2787,81,818,-1
2803,56,820,-1
2821,27,815,-1
2837,1,817,-1
2852,329,816,-1
2870,1023,828,-1
2889,1008,830,-1
2908,980,827,-1
2925,954,818,-1
2942,927,1023,1
2961,937,805,1
2977,961,807,1
2994,988,809,1
3010,1017,811,1
